feature,importance
addr_state,2811
sub_grade,1990
annual_inc,569
acc_open_past_24mths,552
credit_hist_months,512
dti,507
bc_util,486
loan_to_income,478
balance_to_income,460
total_rev_hi_lim,421
purpose,407
avg_cur_bal,397
tot_hi_cred_lim,390
emp_length_yrs,384
revol_util,372
mths_since_last_delinq,338
payment_to_income,318
fico,301
revol_bal,296
int_rate,288
installment,272
total_acc,268
pct_tl_nvr_dlq,262
percent_bc_gt_75,242
loan_amnt,233
inq_last_6mths,202
mort_acc,189
open_acc,155
term_months,128
verification_status,84
num_accts_ever_120_pd,80
util_x_delinq,79
home_ownership,74
delinq_2yrs,38
pub_rec_bankruptcies,33
pub_rec,30
grade,29
num_tl_90g_dpd_24m,19
application_type,0
